,QUESTION,SOLUTION,FAKE_ANSWER_1,FAKE_ANSWER_2,FAKE_ANSWER_3,INFO
0,Albanien,Tirana,Rom,Vilnius,Sofia,süd-ost Europa
1,Andorra,Andorra la Vella,Andorra Capital,Tirana,Vaduz,zwischen Spanien & Frankreich
2,Belgien,Brüssel,Bern,Berlin,Belgrad,Hauptsitz EU & NATO
3,Bosnien-Herzegowina,Sarajevo,Astana,Skopje,Valletta,
4,Bulgarien,Sofia,Bratislava,Riga,Kopenhagen,
5,Dänemark,Kopenhagen,Amsterdam,Oslo,Wien,
6,Deutschland,Berlin,Bern,Belgrad,Brüssel,
7,Estland,Tallinn,Riga,Chisinau,Vilnius,Baltikum
8,Finnland,Helsinki,Oslo,Kopenhagen,Reykjavik,
9,Frankreich,Paris,Lissabon,Dublin,Stockholm,
10,Griechenland,Athen,Ankara,Madrid,Rom,
11,Irland,Dublin,Boston,Limerick,Cork,
12,Island,Reykjavik,Oslo,Helsinki,Skopje,
13,Italien,Rom,Madrid,Athen,Vatikanstadt,Südeuropa
14,Kasachstan,Astana,Sarajevo,Skopje,Cork,
15,Kroatien,Zagreb,Sarajevo,Bukarest,Belgrad,
16,Lettland,Riga,Vilnius,Tallinn,Minsk,Baltikum
17,Liechtenstein,Vaduz,Vilnius,Venedig,Vatikanstadt,
18,Litauen,Vilnius,Tirana,Prag,Riga,
19,Luxemburg,Luxemburg,Bern,Sofia,Dublin,
20,Malta,Valletta,Malta la Vella,Verona,Venedig,
21,Mazedonien,Skopje,Chisinau,Vilnius,Paris,
22,Moldawien,Chisinau,Moskau,Warschau,Podgorica,
23,Monaco,Monaco,San Marino,Astana,Ljubljana,
24,Montenegro,Podgorica,Monaco,Sofia,Sarajevo,
25,Niederlande,Amsterdam,Kopenhagen,Rotterdam,Den Haag,ungleich Holland
26,Norwegen,Oslo,Stockholm,Helsinki,Kopenhagen,
27,Österreich,Wien,Bern,Weimar,Tirol,
28,Polen,Warschau,Prag,Bukarest,Budapest,
29,Portugal,Lissabon,Podgorica,San Marino,Vilnius,
30,Rumänien,Bukarest,Budapest,Bern,Vaduz,
31,Russland,Moskau,Warschau,Minsk,Kiew,
32,San Marino,San Marino,Monaco,Madrid,Minsk,
33,Schweden,Stockholm,Kopenhagen,Oslo,Helsinki,Nordeuropa
34,Schweiz,Bern,Zürich,Lissabon,Brüssel,
35,Serbien,Belgrad,Budapest,Bukarest,Bratislava,
36,Slowakei,Bratislava,Belgrad,Bukarest,Budapest,
37,Slowenien,Ljubljana,Lissabon,Podgorica,Bratislava,
38,Spanien,Madrid,Barcelona,Rom,Lissabon,Südeuropa
39,Tschechien,Prag,Warschau,Minsk,Zagreb,
40,Türkei,Ankara,Istanbul,Tel Aviv,Aleppo,
41,Ukraine,Kiew,Minsk,Belgrad,Riga,
42,Ungarn,Budapest,Bukarest,Belgrad,Bratislava,
43,Vatikanstadt,Vatikanstadt,Rom,Astana,Riga,
44,Vereinigtes Königreich,London,Rom,Belfast,Edinburgh,
45,Weißrussland,Minsk,Kiew,Moskau,Belgrad,
