,QUESTION,SOLUTION,FAKE_ANSWER_1,FAKE_ANSWER_2,FAKE_ANSWER_3,INFO
0,Caesars Tod,44 v.Chr.,429 n.Chr.,507 v.Chr.,173 n.Chr.,
1,Karl der Große Kaiserkrönung,800 n.Chr.,400 n.Chr.,1500 n.Chr.,1200 n.Chr.,(25.12.)
2,Kolumbus Amerika,1492 n.Chr.,835 n.Chr.,1707 n.Chr.,1178 n.Chr.,
3,Gutenbergdruck,1454 n.Chr.,1164 n.Chr.,1576 n.Chr.,1765 n.Chr.,
4,Luthers Thesen,1517 n.Chr.,1409 n.Chr.,1646 n.Chr.,1727 n.Chr.,31.10.
5,1. Kreuzzug,1096 n.Chr.,538 n.Chr.,792 n.Chr.,139 n.Chr.,
6,Westroms Untergang,476 n.Chr.,404 v.Chr.,237 n.Chr.,623 v. Chr.,
7,Napoleons Krönung,1804 n.Chr.,1735 n.Chr.,1856 n.Chr.,1672 n.Chr.,02.12.
8,Kubakrise,1962 n.Chr.,1975 n.Chr.,1953 n.Chr.,1968 n.Chr.,Oktober
9,Schlacht Marathon,490 v.Chr.,236 v.Chr.,127 n.Chr.,342 n.Chr.,1. Persischer Krieg
10,Mauerbau,1961 n.Chr.,1953 n.Chr.,1971 n.Chr.,1963 n.Chr.,13.08.
11,Wiedervereinigung,1990 n.Chr.,1998 n.Chr.,1989 n.Chr.,1985 n.Chr.,03.10.
12,Schlacht beim Thermophylenpass,480 v.Chr.,360 v.Chr.,167 n.Chr.,783 v.Chr.,
13,Schlacht im Teutoburger Wald,9 n.Chr.,129 v.Chr.,372 n.Chr.,284 n.Chr.,
14,Reichsprogromnacht,1938 n.Chr.,1935 n.Chr.,1931 n.Chr.,1934 n.Chr.,09.11.
15,Mauerfall,1989 n.Chr.,1990 n.Chr.,1985 n.Chr.,1993 n.Chr.,09.11.
16,9/11,2001 n.Chr.,2000 n.Chr.,2002 n.Chr.,1999 n.Chr.,11.09.
17,DDR Gründung,1949 n.Chr.,1946 n.Chr.,1953 n.Chr.,1960 n.Chr.,07.10.
18,Westfälischer Frieden,1648 n.Chr.,1703 n.Chr.,1618 n.Chr.,1587 n.Chr.,24.10.
19,Mondlandung,1969 n.Chr.,1972 n.Chr.,1966 n.Chr.,1963 n.Chr.,Apollo 11 (21.07.)
20,USA Unabhängigkeit,1776 n.Chr.,1836 n.Chr.,1689 n.Chr.,1878 n.Chr.,04.07.
21,Hitler Reichskanzler,1933 n.Chr.,1931 n.Chr.,1935 n.Chr.,1929 n.Chr.,30.01.
22,Kölner Dom Grundsteinlegung,1248 n.Chr.,1024 n.Chr.,1441 n.Chr.,1357 n.Chr.,
23,erstes Automobil,1886 n.Chr.,1713 n.Chr.,1835 n.Chr.,1778 n.Chr.,Carl Benz
24,Gründung Berlin,1244 n.Chr.,1069 n.Chr.,964 n.Chr.,1178 n.Chr.,urkundlich erwähnt
25,Zerstörung Karthagos,146 v.Chr.,389 v.Chr.,245 n.Chr.,172 n.Chr.,3. Punische Krieg
26,Internetbeginn,1969 n.Chr.,1979 n.Chr.,1989 n.Chr.,1959 n.Chr.,Arpanet (29.10.)
27,Bücherverbrennung,1933 n.Chr.,1935 n.Chr.,1938 n.Chr.,1931 n.Chr.,NS-Regime (10.05.)
28,Faust I,1808 n.Chr.,1756 n.Chr.,1657 n.Chr.,1713 n.Chr.,Veröffentlichung
29,Attentat von Sarajewo,1914 n.Chr.,1912 n.Chr.,1899 n.Chr.,1908 n.Chr.,WW1 (28.06.)
30,(Konrad) Duden gesetzliche Regeln,1902 n.Chr.,1873 n.Chr.,1928 n.Chr.,1957 n.Chr.,
31,Entdeckung der Radioaktivität,1896 n.Chr.,1903 n.Chr.,1878 n.Chr.,1911 n.Chr.,
32,Entwicklung des PSE (Chemie),1869 n.Chr.,1827 n.Chr.,1786 n.Chr.,1741 n.Chr.,
33,Bau der Pyramiden,2550 v.Chr.,5350 v.Chr.,6400 v.Chr.,3900 v.Chr.,ungefähr
34,Beginn des Baus der chinesischen Mauer,700 v.Chr.,1000 v.Chr.,1300 v.Chr.,1600 v.Chr.,
35,Geburtsdatum von Marco Polo,1254 n.Chr.,1028 n.Chr.,832 n.Chr.,649 n.Chr.,
36,Ausbruch der Pest,1347 n.Chr.,629 n.Chr.,1043 n.Chr.,1612 n.Chr.,in Europa
