,QUESTION,SOLUTION,FAKE_ANSWER_1,FAKE_ANSWER_2,FAKE_ANSWER_3,INFO
0,elektrische Ladung Elektron (C),"1,602 * 10^-19","1,374 * 10^-15","6,672 * 10^-11","2,3 * 10^-23",e0 in Coulomb
1,Masse Sonne (kg),2 * 10^30,"2,4 * 10^27",3 * 10^24,"4,5 * 10^33",
2,Umfang Erde (km),40.000,48.000,36.000,44.000,
3,Schallgeschwindigkeit (m/s),330,1040,620,1430,
4,Lichtgeschwindigkeit (m/s),300.000.000,200.000,2.500.000.000,40.000.000,
5,1 Liter in m^3,"0,001",1,"0,1",10,Volumenumrechnung
6,1 ml in cm^3,1,10,"0,01","0,001",Volumenumrechnung
7,1 N =,1 (kg * m)/s^2,1 A * V * s,1 m^3/(kg * s^2),1 Joule,(1 N = 1 Newton)
8,1 C =, 1 A * s,1 V * s,1 N * m,1 kg/s,(1 C = 1 Coulomb)
9,R =,U/I,I/U,Fc/t,t * v,(R = Widerstand)
10,e =,m * c^2,I * U * t,1/2 * a * m * t,1/4 * m * v^2,(e = Energie)
11,1 Mikrometer in Meter,1 * 10^-6,1 * 10^-12,1 * 10^-9,1 * 10^-3,Längeneinheiten
12,1 Meter in Nanometer,1.000.000.000,1.000.000,1 * 10^12,1.000,Längeneinheiten
13,1 Millimeter in Dezimeter,"0,01","0,1",10,"0,001",Längeneinheiten
14,1 J =,1 Nm,1 A * V * s/m,1 N/m,1 A * V * m,(1 J = 1 Joule)
15,1. kosmische Geschwindigkeit,"7,8 km/s",6.000 km/h,1500 m/s,15.000 km/h,
16,1 m/s in km/h,"3,6","1,8",36,"0,36",Größenumrechnen
17,Erdbeschleunigung (m/s^2),"9,81","6,47","3,29","12,17",
18,Erdmasse (kg),"5,972 * 10^24","2,824 * 10^27","8,639 * 10^14","9,274 * 10^17",
19,Erdradius (km),6.378,3.842,9.430,12.571,
20,Mondmasse (kg),"7,349 * 10^22","9,294 * 10^19","2,931 * 10^13","5,173 * 10^16",
21,Anzahl Monde Jupiter,79,69,59,49,
22,Anzahl Monde Saturn,82,68,56,70,
23,Anzahl Monde Merkur,0,1,2,3,
24,Anzahl Monde Mars,2,0,1,3,
25,Temperatur Sonne Oberfläche,5.778 K,7.293 K,9.302 K,3.724 K,
26,0 Grad Kelvin in Grad Celsius,"-273,15","-127,32","-398,23",0,Größenumrechnen
27,Mondbeschleunigung (m/s^2),"1,62","3,53","6,85","9,81",
28,Alpha Centauri Entfernung Erde,4 Lichtjahre,8 Lichtjahre,2 Lichtjahre,6 Lichtjahre,
29,1 Hektar in m^2,10.000,100,1.000,100.000,Flächeneinheiten
30,1 a in ha,"0,01",100,10,"0,1",Flächeneinheiten
31,1 km^2 in dm^2,100.000.000,1.000.000,10.000,10.000.000.000,Flächeneinheiten
32,Resublimieren,gasförmig -> fest,flüssig -> fest,Plasma -> Gas,fest -> gasförmig,Aggregatszustände
33,v =,s/t,1/2 * a * t,F(rad) * r/m,F(kin) * 2/m,(v = Geschwindigkeit)
34,F =,m * a,t * m,v * m,v * t,(F = Kraft)
35,Spannung in der Steckdose,230 V,190 V,310 V,270 V,
36,Einheit der Stromstärke,A Amper,C Coulomb,N Newton,Ω Ohm,
37,Formelzeichen der elektrischen Ladung,Q in Coulomb,E in Joule,F in Newton,L in Henry,
38,Dichte von Wasser (Raumtemperatur),1 g/cm^3,5 g/cm^3,"0,1 g/cm^3","0,5 g/cm^3",
39,Höhste Dichte von Wasser,4 Grad Celsius,0 Grad Celsius,-4 Grad Celsius,-8 Grad Celsius,
40,1 kg/l in g/cm^3,1,"0,01",1000,"0,001",Dichte
