,QUESTION,SOLUTION,FAKE_ANSWER_1,FAKE_ANSWER_2,FAKE_ANSWER_3,INFO
0,Afghanistan,Kabul,Islamabad,Aschgabad,Taschkent,Südasien
1,Armenien,Eriwan,Jerewan,Baku,Tiflis,Westasien
2,Aserbaidschan,Baku,Jerewan,Eriwan,Tiflis,Westasien
3,Bangladesch,Dhaka,Thimphu,Kathmandu,Naypyidaw,Südasien
4,Bhutan,Thimphu,Dhaka,Hanoi,Bischkek,Südasien
5,China,Peking,Hong Kong,Shanghai,Taipei,Ostasien
6,Georgien,Tiflis,Baku,Eriwan,Aschgabad,Grenze Europa-Asien
7,Indien,Neu-Delhi,Bangkok,Hanoi,Kathmandu,Südasien
8,Indonesien,Jakarta,Bangkok,Ulan-Bator,Kuala Lumpur,Südasien
9,Japan,Tokio,Hanoi,Seoul,Yokohama,Ostasien
10,Kambodscha,Phnom Penh,Manila,Taipeh,Vientiane,Südostasien
11,Kasachstan,Astana,Duschanbe,Bischkek,Taschkent,Zentralasien
12,Kirgisistan,Bischkek,Taschkent,Ulan-Bator,Astana,Zentralasien
13,Nordkorea,Pjöngjang,Seoul,Taipeh,Hanoi,Ostasien
14,Südkorea,Seoul,Pjöngjang,Hanoi,Taipeh,Ostasien
15,Laos,Vientiane,Naypyidaw,Jakarta,Colombo,Südostasien
16,Malaysia,Kuala Lumpur,Dhaka,Male,Hanoi,Südostasien
17,Malediven,Male,Manama,Maskat,Manila,Südasien
18,Mongolei,Ulan-Bator,Kathmandu,Aschgabad,Tiflis,Ostasien
19,Myanmar,Naypyidaw,Vientiane,Dili,Singapur,Südostasien
20,Nepal,Kathmandu,Neu-Delhi,Thimphu,Duschanbe,Südasien
21,Pakistan,Islamabad,Teheran,Kabul,Bagdad,Südasien
22,Philippinen,Manila,Kuala Lumpur,Jakarta,Taipeh,Südostasien
23,Singapur,Singapur,Bangkok,Colombo,Seoul,Südostasien
24,Sri Lanka,Colombo,Male,Sri Lanka-Stadt,Kuala Lumpur,Südasien
25,Taiwan,Taipeh,Pjöngjang,Beijing,Naypyidaw,Ostasien
26,Tadschikistan,Duschanbe,Taschkent,Astana,Bischkek,Zentralasien
27,Thailand,Bangkok,Bagdad,Bischkek,Baku,Südostasien
28,Turkmenistan,Aschgabad,Taschkent,Bagdad,Duschanbe,Zentralasien
29,Usbekistan,Taschkent,Duschanbe,Aschgabad,Bischkek,Zentralasien
30,Vietnam,Hanoi,Seoul,Vientiane,Bangkok,Südostasien
31,Australien,Canberra,Sydney,Melbourne,Brisbane,Kontinent
32,Neuseeland,Wellington,Auckland,Christchurch,Queenstown,Ozeanien
