,QUESTION,SOLUTION,FAKE_ANSWER_1,FAKE_ANSWER_2,FAKE_ANSWER_3,INFO
0,Bahrain,Manama,Sanaa,Amman,Nikosia,
1,Irak,Bagdad,Teheran,Damaskus,Beirut,
2,Iran,Teheran,Bagdad,Damaskus,Beirut,
3,Israel,Jerusalem,Tel Aviv,Riad,Nikosia,
4,Jemen,Sanaa,Maskat,Jemen-Stadt,Riad,
5,Jordanien,Amman,Sanaa,Beirut,Nikosia,
6,Katar,Doha,Abu Dhabi,Manama,Riad,
7,Kuwait,Kuwait-Stadt,Riad,Doha,Amman,
8,Libanon,Beirut,Amman,Manama,Sanaa,
9,Oman,Maskat,Sanaa,Amman,Doha,
10,Saudi-Arabien,Riad,Damaskus,Bagdad,Beirut,
11,Syrien,Damaskus,Aleppo,Riad,Ankara,
12,Türkei,Ankara,Istanbul,Damaskus,Jerusalem,
13,VAE,Abu Dhabi,Doha,Damaskus,Amman,
14,Zypern,Nikosia,Ankara,Beirut,Manama,
