,QUESTION,SOLUTION,FAKE_ANSWER_1,FAKE_ANSWER_2,FAKE_ANSWER_3,INFO
0,Französische Revolution,1789 - 1799 n.Chr.,1726 - 1736 n.Chr.,1654 - 1664 n.Chr.,1812 - 1822 n.Chr.,Ludwig XVI.
1,1. Weltkrieg,1914 - 1918 n.Chr.,1908 - 1918 n.Chr.,1912 - 1917 n.Chr.,1914 - 1919 n.Chr.,
2,2. Weltkrieg,1939 - 1945 n.Chr.,1940 - 1945 n.Chr.,1939 - 1944 n.Chr.,1938 - 1944 n.Chr.,Achsenmächte
3,30 Jähriger Krieg,1618 - 1648 n.Chr.,1607 - 1637 n.Chr.,1632 - 1662 n.Chr.,1683 - 1713 n.Chr.,Katholische Liga/Protestantische Union
4,Vietnamkrieg,1955 - 1975 n.Chr.,1963 - 1978 n.Chr.,1951 - 1967 n.Chr.,1965 - 1979 n.Chr.,01.11. - 30.04.
5,Koreakrieg,1950 - 1953 n.Chr.,1957 - 1959 n.Chr.,1974 - 1978 n.Chr.,1961 - 1963 n.Chr.,Stellvertreterkrieg
6,100 Jähriger Krieg,1337 - 1453 n.Chr.,1237 - 1362 n.Chr.,1407 - 1507 n.Chr.,1316 - 1431 n.Chr.,
7,Deutsch-Französischer Krieg,1870 - 1871 n.Chr.,1870 - 1873 n.Chr.,1863 - 1865 n.Chr.,1869 - 1871 n.Chr.,Deutsche Einheitskriege
8,Zeit der Aufklärung (Literatur),1720 - 1800 n.Chr.,1720 - 1780 n.Chr.,1680 - 1740 n.Chr.,1760 - 1820 n.Chr.,
9,Mittelalter (Europa),500 - 1500 n.Chr.,600 - 1200 n.Chr.,800 - 1400 n.Chr.,500 - 1200 n.Chr.,
10,Antike,800 - 500 v./n.Chr.,900 - 600 v./n.Chr.,600 - 200 v./n.Chr.,700 - 100 v./n.Chr.,
11,2. Punische Krieg,218 - 202 v.Chr.,371 - 357 v.Chr.,149 - 146 v.Chr.,103 - 78 v.Chr.,Hannibal/Elefanten
12,Berliner Mauer,1961 - 1989 n.Chr.,1952 - 1990 n.Chr.,1959 - 1987 n.Chr.,1963 - 1989 n.Chr.,DDR/BRD
13,Weimarer Republik,1918 - 1933 n.Chr.,1919 -1932 n.Chr.,1916 - 1929 n.Chr.,1920 - 1931 n.Chr.,09.11. Ausrufung
14,Kreidezeit,144 - 65 v.Chr.,54 - 7 v.Chr.,203 - 149 v.Chr.,271 - 213 v.Chr.,in millionen Jahren
15,Jurazeit,201 - 145 v.Chr.,144 - 65 v.Chr.,273 - 207 v.Chr.,57 - 12 v.Chr.,in millionen Jahren
16,Bronzezeit in Mitteleuropa,2200 - 800 v.Chr.,3600 - 2200 v.Chr.,5000 - 3600 v.Chr.,6400 - 5000 v.Chr.,
17,Blütezeit des Maya Imperiums,600 - 900 n.Chr.,300 - 600 n.Chr.,600 - 300 v.Chr.,900 - 600 v.Chr.,
18,Wikingerzeit,800 - 1066 n.Chr.,534 - 800 n.Chr.,270 - 534 n.Chr.,1066 - 1332 n.Chr.,
19,Gang nach Canossa,1076 - 1077 n.Chr.,798 - 799 n.Chr.,1246 - 1248 n.Chr.,603 - 605 n.Chr.,Heinrich IV.
